"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"mean_t_encounter_sonar",5,18.7143,48.8571,22.0566193443333,13.102064323749,NA,0.0737102102758963,0.6,31595,-0.00342901966311451,1.00005398878387
"mean_t_encounter_video",1.14286,7.14286,20.5714,9.91660039143333,39.9258638423189,NA,0.230512082369911,0.6,30000,0.00249368889033704,1.00000141592357
"mean_foraging_success_sonar_50",2.5,9.35714,24.4286,11.0283095296667,6.5510324474056,NA,0.0368551062901636,0.6,31595,-0.00342909413621777,1.00005398896724
"mean_foraging_success_sonar_40",2,7.48571,19.5429,8.82264746446667,5.24082579207676,NA,0.0294840846896957,0.6,31595,-0.0034290971186531,1.00005398845394
"mean_foraging_success_sonar_30",1.5,5.61429,14.6571,6.6169857096,3.93061939669448,NA,0.0221130645228618,0.6,31595,-0.00342897794417603,1.00005398894062
"mean_foraging_success_video_50",0.642857,3.57143,10.3571,4.95830034633333,19.9629545035065,NA,0.115256171564198,0.6,30000,0.00249366322618582,1.00000141577681
"mean_foraging_success_video_40",0.514286,2.85714,8.28571,3.96664004176667,15.9703507426283,NA,0.0922048630030917,0.6,30000,0.0024936713486976,1.00000141563855
"mean_foraging_success_video_30",0.257143,2.14286,6.08571,2.97497995854333,11.9777541794303,NA,0.0691535959978121,0.6,30000,0.00249368413344722,1.00000141585281
"mean_bt_encounter_summer",0,0.285714,1.28571,0.4500570577,0.899736477840113,NA,0.00522964194512495,0.6,29600,-0.00173903306886114,1.03705595691003
"mean_bt_encounter_winter",0,2.14286,8.85714,2.99098572446667,2.91133668162577,NA,0.0168346277667323,0.6,29907,0.00296902267387634,1.00003025536755
"mean_foraging_success_bt_s_15",0,0.0428571,0.192857,0.06750856786,0.134960608510309,NA,0.000784447083560153,0.6,29600,-0.00173902655614031,1.037056255739
"mean_foraging_success_bt_s_10",0,0.0285714,0.128571,0.04500570577,0.0899736477840112,NA,0.000522964194512493,0.6,29600,-0.00173903306886048,1.03705595691003
"mean_foraging_success_bt_s_5",0,0.0142857,0.0642857,0.022502857054,0.044986844099656,NA,0.000261482210346776,0.6,29600,-0.00173902990442056,1.03705596270596
"mean_foraging_success_bt_w_15",0,0.321429,1.32857,0.448647852616667,0.436700493784116,NA,0.00252519409126773,0.6,29907,0.00296902399025403,1.00003025532215
"mean_foraging_success_bt_w_10",0,0.214286,0.885714,0.299098572446667,0.291133668162577,NA,0.00168346277667321,0.6,29907,0.00296902267387617,1.00003025536755
"mean_foraging_success_bt_w_5",0,0.107143,0.442857,0.149549293794,0.145566838339442,NA,0.000841731385002726,0.6,29907,0.00296903627977648,1.0000302547833
