"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"mean_t_encounter_G",3.57143,16,34.8571,17.5162334395667,8.55428422018591,NA,0.0493881829724892,0.6,30000,0.0044780976223929,1.00009372043197
"mean_t_encounter_A",0.857143,8.57143,26.5714,12.1052288316333,55.7454795635206,NA,0.327339118950036,0.6,29002,0.000725420760210408,1.00004397792434
"mean_foraging_success_G_20",0.628571,3.2,6.88571,3.5032466767,1.71085698323029,NA,0.00987763739812958,0.6,30000,0.00447809500903427,1.00009372056407
"mean_foraging_success_G_30",1.07143,4.8,10.4571,5.25486994756667,2.56628529022902,NA,0.014816455031311,0.6,30000,0.00447806687647591,1.00009372072901
"mean_foraging_success_G_40",1.25714,6.4,13.7714,7.00649329703333,3.42171373939356,NA,0.0197552734852872,0.6,30000,0.00447813011600735,1.00009371945493
"mean_foraging_success_G_50",1.71429,8,17.3571,8.75811660526667,4.27714213967966,NA,0.0246940916570634,0.6,30000,0.00447810867748232,1.00009372004858
"mean_foraging_success_A_20",0.142857,1.71429,5.28571,2.42104539449667,11.149066481121,NA,0.0654676499270097,0.6,29002,0.000725427532869458,1.00004397749173
"mean_foraging_success_A_30",0.171429,2.57143,7.88571,3.63156850532,16.7236362103104,NA,0.0982016898951284,0.6,29002,0.000725429818044447,1.00004397766306
"mean_foraging_success_A_40",0.285714,3.42857,10.5714,4.84209143286667,22.298206535055,NA,0.130935719540902,0.6,29002,0.000725423295569156,1.00004397748707
"mean_foraging_success_A_50",0.428571,4.28571,13.2857,6.05261453443333,27.8727762174516,NA,0.163669760763527,0.6,29002,0.000725428088903502,1.00004397776367
"mean_bt_encounter_summer",0,0.285714,1.28571,0.4626713586,1.01682383898866,NA,0.00587063517158531,0.6,30000,0.00106450425383532,1.06416122814631
"mean_bt_encounter_winter",0,2.14286,8.71429,2.9578571919,2.87529434894394,NA,0.0165461011190172,0.6,30198,0.00722200269959117,1.00004956946669
"mean_foraging_success_bt_s_15",0,0.0428571,0.192857,0.0694007081966667,0.152523378477259,NA,0.000880594136215583,0.6,30000,0.00106448568517216,1.06416083066001
"mean_foraging_success_bt_s_10",0,0.0285714,0.128571,0.04626713586,0.101682383898866,NA,0.000587063517158531,0.6,30000,0.00106450425383551,1.06416122814631
"mean_foraging_success_bt_s_5",0,0.0142857,0.0642857,0.0231335703866667,0.050841143507754,NA,0.000293531478901095,0.6,30000,0.00106449007544947,1.06416103801242
"mean_foraging_success_bt_w_15",0,0.321429,1.30714,0.443678556943333,0.431294120004395,NA,0.00248191506458097,0.6,30198,0.00722197558247651,1.00004956985643
"mean_foraging_success_bt_w_10",0,0.214286,0.871429,0.29578571919,0.287529434894394,NA,0.0016546101119017,0.6,30198,0.00722200269959133,1.00004956946669
"mean_foraging_success_bt_w_5",0,0.107143,0.435714,0.147892861510667,0.143764709747093,NA,0.000827304989284475,0.6,30198,0.00722197545913301,1.00004957003029
